Formula,     Enthalpy
Li1,       -1.90290
Li2S1,      -11.99520
S1,       -4.12770
S8,      -33.02160
S32,     -132.08763
Li84Si20,     -292.57768
Li30Si8,     -109.78022
Li26Si8,     -101.70580
Li8Si8,      -61.91767
Si4S4,      -41.59240
Si2,      -10.84942
Li4S6Si2,      -56.02230
Li8S8Si2,      -80.41060
F4, -7.18770645
F8, -6.77548060
Li1F1, -9.64813829
Li2F2, -19.31829242
Li2F6, -23.33823757
Li6Si3F18, -144.58912250
S1F4, -17.42793424
S1F6, -27.07977767
S3F18, -81.14187567
S8F32, -156.70067250
Si1F4, -28.28360123
Si3F1, -18.75151170
Li1Si1S1F3,-31.5452
Li1Si2S2F5,-53.4788
Li1Si2S3F3,-46.8572
Li1Si2S4F1,-40.2304
Li2Si1S1F4,-40.9311
Li2Si1S2F2, -34.478
Li3Si1S1F5,-50.6926
Li3Si1S2F3,-44.0705
Li3Si1S3F1,-37.3732
