Composition, Total E eV, meV/atom above CH
  Cl3 Li1 Sn1 S1,-21.710,60.1     
  Cl2 Li4 Sn1 S3,-39.830,47.7
  Cl1 Li1 Sn3 S6,-45.604,139.6
  Cl4 Li2 Sn2 S3,-41.625,98.3
  Cl1 Li3 Sn2 S5,-45.303,79.2
  Cl4 Li4 Sn1 S2,-41.619,106.5
  Cl1 Li5 Sn1 S4,-44.955, 0.0
  Cl3 Li3 Sn2 S4,-47.495,96.9
  Cl6 Li4 Sn1 S1,-43.330,74.6
  Cl3 Li5 Sn1 S3,-47.677, 1.2
  Cl5 Li1 Sn3 S4,-48.968,78.4
  Cl2 Li2 Sn1 S2,-27.461,80.1
  Cl8 Li2 Sn2 S1,-44.821,56.5
  Cl2 Li4 Sn2 S5,-52.552,77.4
  Cl5 Li5 Sn1 S2,-48.847,102.2
  Cl2 Li6 Sn1 S4,-52.335, 0.4
  Cl1 Li1 Sn4 S8,-58.318,148.1
  Cl4 Li2 Sn3 S5,-54.580,98.4
  Cl7 Li3 Sn2 S2,-50.506,72.8
  Cl1 Li5 Sn2 S6,-57.875,31.2
  Cl4 Li6 Sn1 S3,-54.474,43.0
  Cl1 Li1 Sn2 S4,-32.921,120.8
  Cl1 Li7 Sn1 S5,-56.421,37.8
  Cl9 Li1 Sn3 S2,-51.701,69.0
  Cl3 Li1 Sn4 S7,-60.001,121.6
  Cl6 Li2 Sn3 S4,-56.188,80.3
  Cl9 Li3 Sn2 S1,-52.353,40.4
  Cl6 Li6 Sn1 S2,-56.442,74.6
  Cl4 Li2 Sn1 S1,-28.940,64.4
  Cl5 Li3 Sn3 S5,-61.853,93.1
  Cl2 Li4 Sn3 S7,-64.723,130.4
  Cl5 Li5 Sn2 S4,-61.242,136.5
  Cl8 Li6 Sn1 S1,-57.930,66.5
  Cl2 Li8 Sn1 S5,-63.995,21.3
  Cl7 Li1 Sn4 S5,-63.406,73.4
 Cl1 Li1 Sn5 S10,-70.636,176.9
  Cl1 Li3 Sn1 S3,-32.864, 7.2
 Cl10 Li4 Sn2 S1,-58.438,112.1
  Cl4 Li4 Sn3 S6,-67.040,132.6
  Cl7 Li5 Sn2 S3,-63.483,81.1
  Cl4 Li6 Sn2 S5,-66.862,86.2
  Cl1 Li9 Sn1 S6,-68.133,47.8
  Cl9 Li1 Sn4 S4,-65.110,53.2
 Cl12 Li2 Sn3 S1,-60.053,79.0
  Cl3 Li1 Sn2 S3,-34.485,93.0
  Cl9 Li5 Sn2 S2,-64.923,76.2
  Cl3 Li5 Sn3 S7,-72.007,121.6
  Cl9 Li7 Sn1 S1,-65.307,59.6
  Cl3 Li3 Sn1 S2,-34.527,97.7
  Cl5 Li7 Sn2 S5,-74.116,84.0
  Cl5 Li9 Sn1 S4,-74.181,16.5
  Cl7 Li1 Sn5 S7,-75.937,98.4
  Cl5 Li1 Sn2 S2,-36.159,57.7
  Cl4 Li2 Sn5 S9,-79.429,151.6
  Cl7 Li7 Sn2 S4,-76.037,108.0
  Cl5 Li3 Sn1 S1,-36.067,77.2
Sn1 S11 Cl1 Li19,-127.679,38.8
 Sn5 S10 Cl2 Li2,-78.153,151.3
 Sn1 S9 Cl3 Li17,-117.695,66.9
 Sn2 S9 Cl3 Li13,-107.742,57.3
  Sn3 S9 Cl3 Li9,-97.170,66.5
  Sn4 S9 Cl3 Li5,-84.724,129.7
  Sn5 S9 Cl3 Li1,-72.952,118.1
 Sn1 S8 Cl4 Li16,-113.522,54.1
 Sn2 S8 Cl4 Li12,-103.280,53.8
  Sn3 S8 Cl4 Li8,-92.141,75.0
  Sn4 S8 Cl4 Li4,-80.097,122.4
Sn2 S11 Cl1 Li15,-116.739,59.6
 Sn1 S7 Cl5 Li15,-109.202,45.7
 Sn2 S7 Cl5 Li11,-99.620,16.5
  Sn3 S7 Cl5 Li7,-86.939,92.0
  Sn4 S7 Cl5 Li3,-74.559,107.2
 Sn1 S6 Cl6 Li14,-104.959,33.7
 Sn2 S6 Cl6 Li10,-94.181,50.1
  Sn3 S6 Cl6 Li6,-81.562,119.1
