Seeds:
------
Composition     eV/atom above CH
  Sn1 S3 Cl5 Li7 67.78
 Sn3 S4 Cl12 Li8 66.56
 Sn7 S13 Cl3 Li1 67.9
Sn5 S14 Cl2 Li10 59.69
  Sn2 S6 Cl2 Li6 7.25
Sn4 S11 Cl5 Li11 102.42
  Cl2 Li4 Sn1 S3 47.7
  Sn4 S6 Cl6 Li2 93.06
Sn1 S2 Cl10 Li10 64.26
BO Path:
--------
Composition     eV/atom above CH
  Sn1 S3 Cl5 Li7 18.19
 Sn3 S4 Cl12 Li8 66.56
 Sn7 S13 Cl3 Li1 67.9
Sn5 S14 Cl2 Li10 59.69
  Sn2 S6 Cl2 Li6 0.0
Sn4 S11 Cl5 Li11 102.42
  Cl2 Li4 Sn1 S3 47.7
  Sn4 S6 Cl6 Li2 94.22
Sn1 S2 Cl10 Li10 64.26
  Cl8 Li2 Sn2 S1 56.46
Sn1 S10 Cl6 Li22 48.47
Sn4 S13 Cl3 Li13 76.23
  Cl5 Li1 Sn2 S2 57.75
  Sn1 S5 Cl3 Li9 29.13
  Sn4 S7 Cl9 Li7 112.54
 Sn3 S2 Cl10 Li2 55.53
  Cl1 Li1 Sn4 S8 148.21
  Sn5 S9 Cl3 Li1 118.14
 Cl10 Li4 Sn2 S1 112.15
Sn3 S10 Cl6 Li14 83.76
 Sn1 S6 Cl6 Li14 33.76
 Sn2 S9 Cl7 Li17 71.84
Sn1 S11 Cl1 Li19 38.84
  Sn3 S7 Cl5 Li7 92.14
 Sn1 S9 Cl3 Li17 66.87
 Sn4 S1 Cl15 Li1 44.5
Sn1 S12 Cl4 Li24 44.15
Sn1 S14 Cl2 Li26 67.76
  Cl4 Li6 Sn2 S5 86.29
Sn1 S13 Cl3 Li25 77.39
  Cl3 Li5 Sn3 S7 121.61
 Sn1 S7 Cl5 Li15 45.67
Sn2 S11 Cl1 Li15 59.59
Sn1 S10 Cl2 Li18 67.34
Sn1 S11 Cl5 Li23 69.37
Sn1 S15 Cl1 Li27 72.06
 Sn1 S7 Cl9 Li19 42.05
 Sn1 S8 Cl8 Li20 57.14
Sn1 S2 Cl14 Li14 41.97
 Sn2 S2 Cl10 Li6 42.9
  Sn2 S3 Cl9 Li7 71.93
Sn1 S6 Cl10 Li18 47.01
 Sn2 S9 Cl3 Li13 57.34
 Sn1 S5 Cl7 Li13 30.55
  Sn2 S5 Cl7 Li9 68.57
Sn2 S5 Cl11 Li13 88.61
  Cl2 Li8 Sn1 S5 21.27
  Sn3 S4 Cl8 Li4 75.0
Sn1 S5 Cl11 Li17 19.86
Seeds:
------
Composition     eV/atom above CH
Sn4 S11 Cl5 Li11 102.42
  Cl5 Li5 Sn1 S2 102.31
  Cl7 Li7 Sn2 S4 108.1
  Sn2 S4 Cl8 Li8 106.64
 Sn1 S9 Cl3 Li17 66.87
  Cl6 Li4 Sn1 S1 74.62
  Sn1 S3 Cl5 Li7 67.78
Sn3 S15 Cl1 Li19 76.49
 Sn2 S2 Cl10 Li6 77.35
BO Path:
--------
Composition     eV/atom above CH
Sn4 S11 Cl5 Li11 102.42
  Cl5 Li5 Sn1 S2 102.31
  Cl7 Li7 Sn2 S4 108.1
  Sn2 S4 Cl8 Li8 66.14
 Sn1 S9 Cl3 Li17 66.87
  Cl6 Li4 Sn1 S1 74.62
  Sn1 S3 Cl5 Li7 18.19
Sn3 S15 Cl1 Li19 76.49
 Sn2 S2 Cl10 Li6 42.9
 Cl1 Li1 Sn5 S10 177.0
  Cl5 Li9 Sn1 S4 16.53
  Sn3 S6 Cl2 Li2 83.15
  Sn6 S9 Cl7 Li1 101.89
 Sn1 S6 Cl6 Li14 33.76
 Sn2 S9 Cl7 Li17 71.84
 Sn5 S5 Cl11 Li1 74.75
  Sn2 S1 Cl7 Li1 44.14
Sn1 S6 Cl10 Li18 47.01
Sn1 S5 Cl11 Li17 19.86
 Sn1 S5 Cl7 Li13 30.55
  Cl6 Li2 Sn3 S4 80.33
Sn1 S4 Cl12 Li16 22.64
 Sn1 S4 Cl8 Li12 22.28
 Sn1 S9 Cl7 Li21 65.64
Sn1 S15 Cl1 Li27 72.06
  Sn1 S4 Cl4 Li8 0.0
Sn1 S2 Cl14 Li14 41.97
 Sn1 S7 Cl9 Li19 42.05
 Sn1 S8 Cl8 Li20 57.14
Sn1 S3 Cl13 Li15 49.97
Sn3 S10 Cl6 Li14 83.76
Sn1 S1 Cl15 Li13 39.82
 Sn1 S7 Cl5 Li15 45.67
 Sn2 S7 Cl9 Li15 70.67
 Sn1 S6 Cl2 Li10 34.61
  Sn4 S5 Cl7 Li1 65.74
 Sn3 S1 Cl15 Li5 53.85
 Sn1 S1 Cl11 Li9 46.16
 Sn3 S3 Cl13 Li7 70.6
 Cl10 Li4 Sn2 S1 112.15
  Cl8 Li6 Sn1 S1 66.59
  Sn1 S2 Cl6 Li6 74.87
Sn2 S11 Cl1 Li15 59.59
  Cl2 Li4 Sn1 S3 47.7
 Sn1 S8 Cl4 Li16 54.1
 Sn3 S7 Cl9 Li11 99.63
  Cl5 Li1 Sn2 S2 57.75
  Cl8 Li2 Sn2 S1 56.46
 Sn4 S1 Cl15 Li1 44.5
